store_id,row_count,total_revenue,total_quantity,average_transaction_value
41,13144,1500116.76,34401,114.12939440048692
24,13119,1476225.64,34576,112.52577483039865
7,13105,1480498.17,34509,112.97200839374284
15,13016,1474126.03,33765,113.25491933005532
40,12967,1468170.08,33931,113.22357368705175
49,12954,1494703.15,33962,115.38545236992434
10,12947,1461350.19,33880,112.87172240673515
17,12922,1484028.19,33741,114.84508512614146
32,12922,1478497.21,33904,114.41705695712737
44,12920,1493356.5,33691,115.58486842105263
1,12916,1439728.89,33733,111.46863502632394
29,12914,1474651.26,33559,114.19012389654638
4,12911,1492571.17,33702,115.60461389512818
46,12907,1462555.07,33458,113.31487332455258
11,12901,1496556.02,33924,116.00310208510969
5,12892,1474363.79,33845,114.36268926466026
14,12890,1473495.66,33667,114.31308456167571
2,12885,1435321.93,33417,111.3947947225456
37,12876,1489346.54,33702,115.66841721031376
19,12869,1481150.23,33711,115.09443080270417
27,12869,1431269.66,33550,111.21840547051052
20,12865,1448731.12,33396,112.61026972405753
47,12862,1449578.4,33533,112.70241020059088
18,12855,1478034.92,33519,114.9774344612991
25,12845,1456647.27,33089,113.4018894511483
28,12828,1453566.54,33528,113.31201590271282
22,12826,1458688.43,33674,113.72902151878995
48,12819,1471703.45,33711,114.80641625711834
8,12809,1486432.9,33506,116.0459754859864
33,12809,1466636.86,33483,114.50049652588025
34,12795,1444785.92,33110,112.91800859710824
21,12791,1464535.18,33334,114.49731686341958
39,12789,1436763.98,33342,112.3437313316131
3,12788,1425041.46,33459,111.43583515796058
50,12788,1480931.59,33660,115.80634892086331
38,12784,1453941.31,33272,113.73132900500626
42,12779,1431108.2,33418,111.98906017685265
6,12776,1467798.01,33578,114.88713290544771
26,12765,1462975.24,33613,114.60832275754015
35,12733,1486622.3,33373,116.75349878269066
23,12729,1446505.64,33312,113.63859219105977
36,12721,1437266.49,33136,112.983766213348
16,12706,1466637.19,33405,115.4287100582402
45,12695,1461358.23,33184,115.11289720362348
30,12675,1452789.75,33160,114.61852071005917
31,12654,1471607.81,33004,116.2958598071756
13,12650,1464331.36,32970,115.75741976284586
12,12636,1428317.58,32947,113.03557929724597
9,12630,1443590.54,33040,114.29853840063342
43,12595,1455921.49,32829,115.59519571258436
