store_id,transaction_count,total_quantity,revenue_total,revenue_mean
1,12916,33733,1439728.89,111.46863502632394
2,12885,33417,1435321.93,111.3947947225456
3,12788,33459,1425041.46,111.43583515796058
4,12911,33702,1492571.17,115.60461389512818
5,12892,33845,1474363.79,114.36268926466026
6,12776,33578,1467798.01,114.88713290544771
7,13105,34509,1480498.17,112.97200839374284
8,12809,33506,1486432.9,116.0459754859864
9,12630,33040,1443590.54,114.29853840063342
10,12947,33880,1461350.19,112.87172240673515
11,12901,33924,1496556.02,116.00310208510969
12,12636,32947,1428317.58,113.03557929724597
13,12650,32970,1464331.36,115.75741976284586
14,12890,33667,1473495.66,114.31308456167571
15,13016,33765,1474126.03,113.25491933005532
16,12706,33405,1466637.19,115.4287100582402
17,12922,33741,1484028.19,114.84508512614146
18,12855,33519,1478034.92,114.9774344612991
19,12869,33711,1481150.23,115.09443080270417
20,12865,33396,1448731.12,112.61026972405753
21,12791,33334,1464535.18,114.49731686341958
22,12826,33674,1458688.43,113.72902151878995
23,12729,33312,1446505.64,113.63859219105977
24,13119,34576,1476225.64,112.52577483039865
25,12845,33089,1456647.27,113.4018894511483
26,12765,33613,1462975.24,114.60832275754015
27,12869,33550,1431269.66,111.21840547051052
28,12828,33528,1453566.54,113.31201590271282
29,12914,33559,1474651.26,114.19012389654638
30,12675,33160,1452789.75,114.61852071005917
31,12654,33004,1471607.81,116.2958598071756
32,12922,33904,1478497.21,114.41705695712737
33,12809,33483,1466636.86,114.50049652588025
34,12795,33110,1444785.92,112.91800859710824
35,12733,33373,1486622.3,116.75349878269066
36,12721,33136,1437266.49,112.983766213348
37,12876,33702,1489346.54,115.66841721031376
38,12784,33272,1453941.31,113.73132900500626
39,12789,33342,1436763.98,112.3437313316131
40,12967,33931,1468170.08,113.22357368705175
41,13144,34401,1500116.76,114.12939440048692
42,12779,33418,1431108.2,111.98906017685265
43,12595,32829,1455921.49,115.59519571258436
44,12920,33691,1493356.5,115.58486842105263
45,12695,33184,1461358.23,115.11289720362348
46,12907,33458,1462555.07,113.31487332455258
47,12862,33533,1449578.4,112.70241020059088
48,12819,33711,1471703.45,114.80641625711834
49,12954,33962,1494703.15,115.38545236992434
50,12788,33660,1480931.59,115.80634892086331
